address,main_price,price_per_m2,area
"Москва, ЗАО, р-н Раменки, м. Раменки, Винницкая улица, 8к2",36488283,355290,102.7
"Москва, ЗАО, р-н Раменки, м. Раменки, Винницкая улица, 8к1",20339334,454003,44.8
"Москва, ЗАО, р-н Дорогомилово, м. Студенческая, Поклонная улица, вл9",41993914,614845,68.3
"Москва, ЗАО, р-н Раменки, м. Раменки, Винницкая улица, 8к3",54160837,410932,131.8
"Москва, ЗАО, р-н Дорогомилово, м. Студенческая, Поклонная улица, вл9",114748616,653094,175.7
"Москва, ЗАО, р-н Раменки, м. Раменки, Винницкая улица, 8к1",27494896,410985,66.9
"Москва, ЗАО, р-н Филевский парк, м. Фили, Береговой проезд, 5к3",39999999,442968,90.3
"Москва, ЗАО, р-н Дорогомилово, м. Студенческая, Поклонная улица, вл9",37554575,675442,55.6
"Москва, ЗАО, р-н Филевский парк, м. Фили, Береговой проезд, 3",17250000,429104,40.2
"Москва, ЗАО, р-н Дорогомилово, м. Парк Победы, Виктори Парк Резиденсез ЖК",187410132,958276,195.57
"Москва, ЗАО, р-н Дорогомилово, м. Парк Победы, Виктори Парк Резиденсез ЖК, 3к8",60507036,607196,99.65
"Москва, ЗАО, р-н Тропарево-Никулино, м. Тропарево, проспект Вернадского, 94к5",90000000,306122,294.0
"Москва, ЗАО, р-н Раменки, м. Аминьевское шоссе, Событие-2 ЖК",40683900,334847,121.5
"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мосфильмовская улица, 8",190485359,1190533,160.0
"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мосфильмовская улица, 8",103000000,660256,156.0
"Москва, ЗАО, р-н Раменки, м. Минская, Мосфильмовская улица, 8",69000000,644860,107.0
"Москва, ЗАО, р-н Раменки, м. Минская, Мосфильмовская улица, 8",70000000,700000,100.0
"Москва, ЗАО, р-н Раменки, м. Минская, Мосфильмовская улица, 8",50000000,516529,96.8
"Москва, ЗАО, р-н Раменки, м. Минская, Мосфильмовская улица, 8",99999999,657895,152.0
"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мосфильмовская улица, 8",66999999,670000,100.0
"Москва, ЗАО, р-н Раменки, м. Аминьевское шоссе, Событие ЖК",42427740,292807,144.9
"Москва, ЗАО, р-н Раменки, м. Минская, проспект Генерала Дорохова",45790648,333508,137.3
"Москва, ЗАО, р-н Раменки, м. Минская, проспект Генерала Дорохова",35161621,317057,110.9
"Москва, ЗАО, р-н Проспект Вернадского, м. Проспект Вернадского, улица Коштоянца, 12",49500000,355348,139.3
"Москва, ЗАО, р-н Раменки, м. Мичуринский проспект",100986000,594035,170.0
"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мосфильмовская улица, 8",103000000,660256,156.0
