address,main_price,price_per_m2,area
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Тюменский проезд, 3к4",17920000,308966,58.0
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",27394180,262900,104.2
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/1",20578560,220800,93.2
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4А",20249270,250300,80.9
"Москва, ВАО, р-н Измайлово, м. Измайловская, Измайловский проезд, 5А",27269900,239000,114.1
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/3",16917600,185500,91.2
"Москва, ВАО, р-н Богородское, м. Преображенская площадь, Просторная улица, 7к1",24260460,245800,98.7
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",12633740,291100,43.4
"Москва, ВАО, р-н Сокольники, м. Рижская, улица Сокольнический Вал, 37",23334197,235058,99.27
"Москва, ВАО, р-н Измайлово, м. Измайловская, Измайловский проезд, 5А",24703980,275100,89.8
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/3",13124100,213400,61.5
"Москва, ВАО, р-н Восточное Измайлово, м. Первомайская, 14-я Парковая улица, 8",3290000,219333,15.0
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",10111950,293100,34.5
"Москва, ВАО, р-н Богородское, м. Преображенская площадь, Просторная улица, 7к1",17415320,278200,62.6
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/1",10668320,239200,44.6
"Москва, ВАО, р-н Измайлово, м. Измайловская, Измайловский проезд, 5А",17121160,260200,65.8
"Москва, ВАО, р-н Сокольники, м. Рижская, улица Сокольнический Вал, 37",17718853,229876,77.08
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, 2-й Вольный переулок, 11",6500000,325000,20.0
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурская улица, 1Ак5",11200000,273839,40.9
"Москва, ВАО, р-н Богородское, м. Преображенская площадь, Просторная улица, 7к1",12237840,295600,41.4
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/4",6518400,336000,19.4
"Москва, ВАО, р-н Сокольники, м. Рижская, улица Сокольнический Вал, 37",12886210,313000,41.17
"Москва, ВАО, р-н Измайлово, м. Измайловская, Измайловский проезд, 5А",14140150,363500,38.9
"Москва, ВАО, р-н Сокольники, м. Сокольники, улица Гастелло, 37",18000000,300000,60.0
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, 2-й Вольный переулок, 11С2",18282000,215336,84.9
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4А",16185000,301959,53.6
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4А",12173000,311330,39.1
"Москва, ВАО, р-н Сокольники, м. Красносельская, 2-я Рыбинская улица, 13",15500000,387500,40.0
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Тюменский проезд, 3к4",17920000,308966,58.0
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Тюменский проезд, 3к1",12500000,337838,37.0
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Тюменский проезд, 3к4",18330000,316253,57.96
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4А",19536000,241185,81.0
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4А",17731000,216496,81.9
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",25776000,247370,104.2
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Просторная улица, 7к2",8048000,402400,20.0
"Москва, ВАО, р-н Соколиная гора, м. Семеновская, Щербаковская улица, 32/7",16200000,320158,50.6
"Москва, ВАО, р-н Измайлово, м. Измайловская, 3-я Парковая улица, 12",32300000,323000,100.0
"Москва, ВАО, р-н Сокольники, м. Сокольники, Большая Остроумовская улица, 10К2",25300000,421667,60.0
"Москва, ВАО, р-н Ивановское, м. Первомайская, улица Чечулина, 26",8600000,266915,32.22
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурская улица, 1Ак3",20690000,271166,76.3
"Москва, ВАО, р-н Богородское, м. Белокаменная, Погонный проезд, 3ак5",26300000,306527,85.8
"Москва, ВАО, р-н Сокольники, м. Сокольники, 2-я Рыбинская улица, 13",10500000,350000,30.0
"Москва, ВАО, р-н Богородское, м. Белокаменная, Погонный проезд, 3ак2",26000000,286344,90.8
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4С10",12900000,215719,59.8
"Москва, ВАО, р-н Сокольники, м. Красносельская, 2-я Рыбинская улица, 13",9900000,330000,30.0
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, 1-й Кирпичный переулок, 17",12800000,205788,62.2
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",12150000,310742,39.1
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, 1-й Кирпичный переулок, 17",12800000,205457,62.3
"Москва, ВАО, р-н Гольяново, м. Щелковская, Хабаровская улица, 9",6000000,285714,21.0
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4С10",5850000,321429,18.2
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",14650000,200410,73.1
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Тюменский проезд, 3к3",13020000,334790,38.89
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4А",19850000,248747,79.8
"Москва, ВАО, р-н Сокольники, м. Рижская, улица Сокольнический Вал, 37",8417760,312000,26.98
"Москва, ВАО, р-н Соколиная гора, м. Измайлово, Фортунатовская улица, 33/44",3600000,276923,13.0
"Москва, ВАО, р-н Измайлово, м. Первомайская, 7-я Парковая улица, 23",22900000,272619,84.0
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурская улица, 1Ак1",12890000,182578,70.6
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Тюменский проезд, 3к1",12500000,337838,37.0
"Москва, ВАО, р-н Измайлово, м. Партизанская, Измайловский проезд, 10к4",47982220,397863,120.6
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Открытое шоссе, 24К1",14870000,242577,61.3
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурская улица, 1Ак5",9000000,230769,39.0
"Москва, ВАО, р-н Новогиреево, м. Новогиреево, Зеленый проспект, 50",12000000,260870,46.0
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 4А",20200000,251244,80.4
"Москва, ВАО, р-н Косино-Ухтомский, м. Улица Дмитриевского, улица Татьяны Макаровой, 3",11700000,233068,50.2
"Москва, ВАО, р-н Сокольники, м. Сокольники, улица 3-я Сокольническая, 2",17250000,293867,58.7
"Москва, ВАО, р-н Измайлово, м. Первомайская, Первомайская улица, 42к2",55000000,275413,199.7
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Тюменский проезд, 3к1",19100000,253652,75.3
"Москва, ВАО, р-н Измайлово, м. Первомайская, 9-я Парковая улица, 5",10290000,201765,51.0
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/3",9985680,248400,40.2
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Открытое шоссе",10220134,294953,34.65
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Открытое шоссе",10250200,282375,36.3
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",10614090,313100,33.9
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/1",10882400,244000,44.6
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/3",11983000,230000,52.1
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Просторная улица, 7к2",12987120,306300,42.4
"Москва, ВАО, р-н Богородское, м. Преображенская площадь, Просторная улица, 7к1",13118560,309400,42.4
"Москва, ВАО, р-н Гольяново, м. Черкизовская, Амурский парк ЖК, к3/4",13843440,226200,61.2
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Открытое шоссе",14490000,241500,60.0
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Просторная улица, 7к2",15941040,304800,52.3
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 7А",19129850,229100,83.5
"Москва, ВАО, р-н Соколиная гора, м. Семеновская, Измайловское шоссе, 20",20220073,318979,63.39
"Москва, ВАО, р-н Соколиная гора, м. Семеновская, Измайловское шоссе, 20",22866571,271478,84.23
"Москва, ВАО, р-н Богородское, м. Бульвар Рокоссовского, Открытое шоссе",23222640,241500,96.16
"Москва, ВАО, р-н Соколиная гора, м. Семеновская, Измайловское шоссе, 20",26499602,316527,83.72
"Москва, ВАО, р-н Измайлово, м. Партизанская, Измайловский проезд, 10к1",27535200,369600,74.5
