address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Уктусская улица, 42",6859800,111000,61.8
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Уктусская улица, 42",4212000,117000,36.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Уктусская улица, 42",5816400,111000,52.4
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Уктусская улица, 42",3416000,122000,28.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Парк Столиц ЖК",7714000,116000,66.5
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, м. Геологическая, улица Радищева, 41",7750000,112140,69.11
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, м. Геологическая, улица Горького, 36",13680000,189212,72.3
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, м. Чкаловская, улица Чкалова, 20к1",10970000,80015,137.1
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, м. Геологическая, улица Радищева, 41",4850000,155449,31.2
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, м. Геологическая, улица Радищева, 41",7150000,106956,66.85
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, м. Геологическая, улица Радищева, 41",9250000,108824,85.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Парк Столиц ЖК",8596650,128500,66.9
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Парк Столиц ЖК",9544500,105000,90.9
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, м. Геологическая, улица Радищева, 41",4900000,167350,29.28
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, улица Ясная, 1к6",1599000,88833,18.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, Уктусская улица, 33",2850000,91640,31.1
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, улица Академика Бардина, 30",4100000,86864,47.2
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, улица Щорса, 60Б",6090000,98384,61.9
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, улица Сакко и Ванцетти, 100",4750000,114458,41.5
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, улица Чайковского, 19",8000000,69565,115.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. УНЦ, улица Амундсена, 141",3590000,52485,68.4
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, м. Площадь 1905 года, улица Гоголя, 18",30500000,256087,119.1
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, улица Громова, 26",7280000,81798,89.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Академический, улица Павла Шаманова, 5/1",6290000,88592,71.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, улица Шаумяна, 20",2900000,145000,20.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. УНЦ, пос. Совхозный, Разливная улица, 50к4",4160000,81569,51.0
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, улица Большакова, 109",7690000,112427,68.4
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, улица Фрунзе, 78",4100000,83845,48.9
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, улица Хохрякова, 74",14000000,110149,127.1
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Центр, улица Сакко и Ванцетти, 99",46000000,240964,190.9
"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, м. Чкаловская, Парковый Квартал ЖК",5630400,102000,55.2
