address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, улица Пехотинцев, 12",3250000,85526,38.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",9870000,137408,71.83
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",4070000,120414,33.8
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",19300000,130115,148.33
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",7430000,171752,43.26
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Уральская, Центральный кв-л, Екатерининский Парк ЖК",7777000,131368,59.2
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",31900000,124917,255.37
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",7900000,110955,71.2
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, м. Уральская, Космонавтов 11 ЖК, к4.1",4568950,68500,66.7
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",12500000,134163,93.17
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, м. Уральская, Космонавтов 11 ЖК, к4.1",3370080,95200,35.4
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, м. Уральская, Космонавтов 11 ЖК, к3.2",2218850,111500,19.9
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, м. Уральская, Космонавтов 11 ЖК, к3.1",4516320,77600,58.2
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",10050000,105016,95.7
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",3880000,120872,32.1
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, Автомагистральная улица, 31",3350000,78454,42.7
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, улица Шевченко, 35",3000000,66667,45.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, улица Луначарского, 17",3380000,82843,40.8
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, улица Азина, 22/4",6000000,127660,47.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, улица Пехотинцев",4100000,46750,87.7
"Свердловская область, Екатеринбург, р-н Железнодорожный, м. Уральская, Трамвайный переулок, 2к7",7596000,120000,63.3
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, улица Таежная, 11",4120000,71404,57.7
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Северка, Юбилейная улица, 7",1950000,50129,38.9
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Челюскинцев, 27",3180000,73953,43.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, улица Бебеля, 146",3800000,78675,48.3
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, улица Маневровая, 25А",3400000,50296,67.6
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, улица Пехотинцев, 3к4",3990000,81429,49.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, улица Летчиков, 7",2290000,95417,24.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, улица Пехотинцев, 12",3250000,85526,38.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Гражданская, 2А",4000000,74074,54.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, улица Таежная, 4",5400000,80477,67.1
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, улица Пехотинцев, 3к4",3990000,81429,49.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, улица Кунарская, 35",3450000,59896,57.6
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",4580000,120844,37.9
"Свердловская область, Екатеринбург, р-н Железнодорожный, м. Уральская, Трамвайный переулок, 2к7",5100000,125000,40.8
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, улица Азина, 22/4",5500000,161765,34.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",7910000,111096,71.2
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",10570000,115142,91.8
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",13740000,123561,111.2
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",14710000,107702,136.58
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, м. Уральская, Космонавтов 11 ЖК, к3.2",4482390,79900,56.1
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Центр, м. Динамо, Центральный кв-л, Екатерининский Парк ЖК",5630000,110392,51.0
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Вокзальный, улица Печерская, 4",8290000,163608,50.67
"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, м. Уральская, Майкопская улица, 5А",2280000,50780,44.9
