address,main_price,price_per_m2,area
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Площадь Мужества, Институтский проспект, 16к1",52887654,349324,151.4
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Площадь Мужества, Институтский проспект, 16к1",37393574,310063,120.6
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Площадь Мужества, Институтский проспект, 16к1",22600307,350936,64.4
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Площадь Мужества, Институтский проспект, 16к1",52391414,321420,163.0
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Лесная, Кантемировская 11 ЖК, к3",4852680,222600,21.8
"Санкт-Петербург, р-н Выборгский, мкр. Парголово, м. Парнас, проспект Энгельса, 174",2810000,127149,22.1
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Лесная, улица Александра Матросова, 8к1",8800000,231092,38.08
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Удельная, Железнодорожный переулок, 12",13500000,220588,61.2
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Выборгская, Большой Сампсониевский проспект, 31",2760000,170055,16.23
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Лесная, улица Александра Матросова, 8к1",17700000,220533,80.26
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Лесная, улица Александра Матросова, 8к1",13800000,213523,64.63
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Удельная, проспект Тореза, 118",9506700,189000,50.3
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Удельная, проспект Тореза, 118",18088000,170000,106.4
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Выборгская, Выборгская улица, 4к2",25529104,236797,107.81
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Выборгская, Выборгская улица, 4к2",39852427,241544,164.99
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Выборгская, Крапивный переулок, 4",15821840,241555,65.5
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Удельная, проспект Тореза, 118",16083900,189000,85.1
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Удельная, проспект Тореза, 118",26806500,185000,144.9
"Санкт-Петербург, р-н Выборгский, мкр. Парголово, м. Парнас, улица Архитектора Белова, 5к1",5990000,178806,33.5
"Санкт-Петербург, р-н Выборгский, Шувалово-Озерки, м. Проспект Просвещения, улица Композиторов, 18",18900000,165935,113.9
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Выборгская, Крапивный переулок, 4",22769380,190858,119.3
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Выборгская, Крапивный переулок, 4",41888010,235591,177.8
"Санкт-Петербург, р-н Выборгский, Сампсониевское, м. Лесная, Большой Сампсониевский проспект, 82",17690000,173262,102.1
"Санкт-Петербург, р-н Выборгский, Шувалово-Озерки, м. Проспект Просвещения, Шувалово тер., улица Береговая, 28к4",17850000,263274,67.8
"Санкт-Петербург, р-н Выборгский, Светлановское, м. Удельная, Ярославский проспект, 27",24050000,150219,160.1
