address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Центр, м. Геологическая, улица Розы Люксембург, 69/2",8445000,116805,72.3
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Парковый, м. Чкаловская, Клевер Парк ЖК",9223000,115461,79.88
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Компрессорный, м. Ботаническая, Хрустальные Ключи ЖК",1518750,67500,22.5
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Компрессорный, м. Ботаническая, Хрустальные Ключи ЖК",2111520,66400,31.8
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Автовокзал, м. Ботаническая, Исеть Парк ЖК, к1",2310840,117900,19.6
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Компрессорный, м. Ботаническая, Хрустальные Ключи ЖК",2361600,64000,36.9
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Автовокзал, м. Ботаническая, Исеть Парк ЖК, к2",3731160,105400,35.4
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Компрессорный, м. Ботаническая, Латвийская улица, 56",3931590,66300,59.3
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Автовокзал, м. Ботаническая, Исеть Парк ЖК, к1",4581200,88100,52.0
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Автовокзал, м. Ботаническая, Исеть Парк ЖК, к1",7201280,77600,92.8
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Парковый, м. Чкаловская, улица Ткачей, 19/2",7727000,159616,48.41
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Автовокзал, м. Чкаловская, улица Белинского, 161",8146800,93000,87.6
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Автовокзал, м. Чкаловская, улица Белинского, 161",8584000,92500,92.8
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Парковый, м. Чкаловская, улица Ткачей, 19/2",12462000,131386,94.85
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Компрессорный, Белоярская улица, 27",3400000,59649,57.0
"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Кольцово, улица Испытателей, 16",2370000,49895,47.5
