address,main_price,price_per_m2,area
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, Приморский проспект, 78к2",31065825,246750,125.9
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 60к3",8790000,165849,53.0
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, Приморский проспект, 78к2",40960080,340200,120.4
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Белоостровская улица, 10к1",9287368,235720,39.4
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 60к3",13200000,167089,79.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Проспект Просвещения, Ойкумена ЖК, 2.3.1",4991200,170000,29.36
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Белоостровская улица, 10к1",12579710,244837,51.38
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Белоостровская улица, 10к1",8162020,262952,31.04
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Черная Речка муниципальный округ, Жилой комплекс Белый остров",12820000,200000,64.1
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Черная Речка муниципальный округ, Жилой комплекс Белый остров",8002500,275000,29.1
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 60к3",6400000,175342,36.5
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Глухарская улица, 30",4900000,186312,26.3
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Черная речка, Белоостровская улица, 28",9511723,242646,39.2
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Черная Речка муниципальный округ, Жилой комплекс Белый остров",20055000,210000,95.5
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Планерная улица, 87к1",3902214,170850,22.84
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, м. Зенит, Лахта тер., улица Новая, 51к1",5788170,145067,39.9
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Черная речка, Белоостровская улица, 28",15399827,218128,70.6
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Белоостровская улица, 10к1",17331092,210661,82.27
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Лесная, Черная Речка муниципальный округ, Жилой комплекс Белый остров",23127000,195000,118.6
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Беговая, Каменка тер., Полис Приморский ЖК",3791760,164859,23.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Проспект Просвещения, шоссе Суздальское, уч18",6798960,142000,47.88
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Черная речка, Белоостровская улица, 28",21325499,221679,96.2
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Черная речка, Белоостровская улица, 28",33237991,222626,149.3
"Санкт-Петербург, р-н Приморский, Коломяги, м. Озерки, Орловский Парк ЖК, 1В",4435860,157300,28.2
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Планерная улица, 87к1",5671047,179350,31.62
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Ультра Сити ЖК",6500000,195195,33.3
"Санкт-Петербург, р-н Приморский, Коломяги, м. Проспект Просвещения, шоссе Суздальское, уч18",8704800,135000,64.48
"Санкт-Петербург, р-н Приморский, Коломяги, м. Проспект Просвещения, шоссе Суздальское, уч18",15873200,140000,113.38
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, улица Лидии Зверевой, 9к1",7315000,167009,43.8
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, м. Комендантский проспект, проспект Гладышевский, 37к1",7300000,152083,48.0
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, улица Оптиков, 45к2",11250000,179140,62.8
"Санкт-Петербург, р-н Приморский, Коломяги, м. Удельная, Рябиновая улица, 17к3",30000000,103448,290.0
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, Лахта тер., улица Новая, 51к6",9376289,158920,59.0
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, Лахта тер., улица Новая, 51к16",9508862,149510,63.6
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, Лахта тер., улица Новая, 51к14",25997561,172512,150.7
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, улица Репищева, 10к1",5875000,194536,30.2
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Ультра Сити ЖК",9037564,184440,49.0
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Планерная улица, 87к1",9317054,151300,61.58
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Ультра Сити ЖК",14543892,169115,86.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Ультра Сити ЖК",14881167,184401,80.7
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Планерная улица, 87к1",5943243,171275,34.7
"Санкт-Петербург, р-н Приморский, мкр. Лисий Нос, м. Беговая, Большой проспект, 24",17489480,157805,110.83
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, м. Зенит, Лахта тер., улица Новая, 51к10",21358869,175649,121.6
"Санкт-Петербург, р-н Приморский, № 65, м. Старая Деревня, Приморский проспект, 52К1",68900000,370430,186.0
"Санкт-Петербург, р-н Приморский, Чёрная речка, м. Петроградская, Ушаковская набережная, 1к3",29900000,305102,98.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Парашютная улица, 61к1",5980000,171839,34.8
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, проспект Королева, 62",7350000,108088,68.0
"Санкт-Петербург, р-н Приморский, мкр. Лисий Нос, м. Беговая, Большой проспект, 24",10109760,161189,62.72
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, м. Зенит, Лахта тер., улица Новая, 51к9",12859986,156829,82.0
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Комендантский проспект, проспект Сизова, 32К1",5800000,148718,39.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Проспект Просвещения, проспект Орлово-Денисовский, 17к1",10873200,132600,82.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 66к6",11850000,142771,83.0
"Санкт-Петербург, р-н Приморский, мкр. Лисий Нос, м. Беговая, Большой проспект, 24",9372710,162467,57.69
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, м. Зенит, Лахта тер., улица Новая, 51к15",10564792,156515,67.5
"Санкт-Петербург, р-н Приморский, № 65, м. Комендантский проспект, улица Оптиков, 35к1",13290000,168015,79.1
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, улица Лидии Зверевой, 5к1",8700000,161141,53.99
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, улица Оптиков, 45к1",18500000,172736,107.1
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Беговая, Каменка тер., Полис Приморский ЖК",6147384,153685,40.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Проспект Просвещения, проспект Орлово-Денисовский, 17к1",6778240,142400,47.6
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, м. Зенит, Лахта тер., улица Новая, 51к15",6825830,169375,40.3
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Беговая, Каменка тер., Полис Приморский ЖК",7489664,141314,53.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Озерки, Орловский Парк ЖК, 1В",7980600,141500,56.4
"Санкт-Петербург, р-н Приморский, Комендантский аэродром, Фермское шоссе, 14к1",26000000,273684,95.0
"Санкт-Петербург, р-н Приморский, № 65, м. Комендантский проспект, Богатырский проспект, 47К1",9850000,131333,75.0
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Комендантский проспект, проспект Сизова, 21",6700000,175853,38.1
"Санкт-Петербург, р-н Приморский, № 65, м. Комендантский проспект, Шуваловский проспект, 74к2",13700000,161939,84.6
"Санкт-Петербург, р-н Приморский, № 65, м. Комендантский проспект, Елагинский проспект, 40к4",5700000,142857,39.9
"Санкт-Петербург, р-н Приморский, Коломяги, м. Удельная, Фермское шоссе, 32",14900000,170286,87.5
"Санкт-Петербург, р-н Приморский, Коломяги, м. Удельная, Фермское шоссе, 32",22500000,189553,118.7
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Парашютная улица, 34",10400000,170492,61.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, проспект Королева, 62",3700000,132143,28.0
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Старая Деревня, дорога Торфяная, 17к2",16100000,187865,85.7
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, Лахта тер., улица Новая, 51к10",5190000,133077,39.0
"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, м. Беговая, проспект Юнтоловский, 49К5",8200000,137584,59.6
"Санкт-Петербург, р-н Приморский, № 65, м. Комендантский проспект, Туристская улица, 30к2",7000000,166271,42.1
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 58к1",6000000,229885,26.1
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Комендантский проспект, Комендантский проспект, 25к1Б",15150000,136364,111.1
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, проспект Королева, 62",3850000,160417,24.0
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Комендантский проспект, проспект Испытателей, 31К1",5600000,177778,31.5
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Шуваловский проспект, 37к1",7800000,158859,49.1
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, Туристская улица, 11к2",7099000,169024,42.0
"Санкт-Петербург, р-н Приморский, Комендантский аэродром, м. Пионерская, Серебристый бульвар, 21",22000000,158845,138.5
"Санкт-Петербург, р-н Приморский, № 65, м. Старая Деревня, Планерная улица, 19К1",7000000,134100,52.2
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, улица Плесецкая, 14",4200000,197183,21.3
"Санкт-Петербург, р-н Приморский, Комендантский аэродром, м. Пионерская, проспект Испытателей, 15К1",5600000,178914,31.3
"Санкт-Петербург, р-н Приморский, № 65, м. Комендантский проспект, Камышовая улица, 30К1",6300000,157895,39.9
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Комендантский проспект, Гаккелевская улица, 27К2",8600000,153571,56.0
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Комендантский проспект, проспект Сизова, 22",15360000,148406,103.5
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, улица Савушкина, 143к1",21500000,197248,109.0
"Санкт-Петербург, р-н Приморский, Озеро Долгое, м. Комендантский проспект, улица Ильюшина, 15К1",9300000,120466,77.2
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Шуваловский проспект, 63К1",6200000,138393,44.8
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Парашютная улица, 34",11190000,195972,57.1
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, проспект Королева, 61",6650000,152523,43.6
"Санкт-Петербург, р-н Приморский, № 65, м. Комендантский проспект, Гаккелевская улица, 20к3В",6900000,164560,41.93
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, Планерная улица, 63к1",34900000,223718,156.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 66к5",8350000,157547,53.0
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, Приморский проспект, 78к2",31065820,246750,125.9
"Санкт-Петербург, р-н Приморский, Юнтолово, м. Комендантский проспект, улица Плесецкая, 6",14080000,229465,61.36
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Парашютная улица, 65",5700000,174847,32.6
"Санкт-Петербург, р-н Приморский, № 65, Приморский проспект, 78к5",25500000,250000,102.0
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 60к3",9500000,210643,45.1
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, улица Савушкина, 145",9200000,169118,54.4
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, улица Оптиков, 52к2А",5500000,147059,37.4
"Санкт-Петербург, р-н Приморский, Коломяги, м. Комендантский проспект, Комендантский проспект, 66к6",11850000,134659,88.0
"Санкт-Петербург, р-н Приморский, № 65, м. Беговая, Приморский проспект, 78к2",24500000,376923,65.0
"Санкт-Петербург, р-н Приморский, № 65, Приморский проспект, 78к5",52000000,319018,163.0
