address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Студенческая, 80",5150000,92960,55.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, проспект Ленина, 69к8",4890000,77619,63.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, бульвар Сиреневый, 10",4700000,88679,53.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Динамо, переулок Шадринский, 16",8150000,85699,95.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица 40-летия Комсомола, 32Г",2800000,58333,48.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Вилонова, 82",2200000,60440,36.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Сулимова, 59",2890000,98635,29.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2370000,100000,23.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2415600,99000,24.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",2587800,114000,22.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",2576000,112000,23.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",2622000,114000,23.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2690000,100000,26.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",2662400,104000,25.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2732400,99000,27.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",2995200,104000,28.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",3237600,114000,28.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",3283200,114000,28.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",3283200,114000,28.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3549600,102000,34.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3510000,100000,35.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3559800,102000,34.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",3627800,93500,38.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",3627800,93500,38.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3692100,93000,39.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3888950,96500,40.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",3962700,111000,35.7
