lat,lon,price

59.8926493,30.318071,11514938

59.8802598,30.3190724,6910400

59.8926493,30.318071,14329015

59.8167241,30.3567684,6500000

59.8295083,30.3759047,6349956

59.8504711,30.3134708,10800000

59.8640275,30.304291039574235,5500000

59.8511311,30.3510961,5990000

59.8511311,30.3510961,8600000

59.8295083,30.3759047,7282368

59.8802598,30.3190724,21612000

59.8802598,30.3190724,13832100

59.8512892,30.3263872,34881000

59.8802598,30.3190724,10790400

59.8512892,30.3263872,18490000

59.8511311,30.3510961,13007500

59.8802598,30.3190724,8731800

59.8512892,30.3263872,19530000

59.8726559,30.33603985,11800000

59.8512892,30.3263872,10256000

59.8512892,30.3263872,2685000

59.8512892,30.3263872,2685000

59.8167241,30.3567684,4120000

59.8167241,30.3567684,6500000

59.8511311,30.3510961,14000000

59.8459613,30.4225427,6900000

59.8192004,30.3396276,5700000

59.8332904,30.3112507,6150000

59.8512892,30.3263872,18998000

59.8332904,30.3112507,14000000

59.9390205,30.3532303,8800000

59.8325847,30.3478487,5999000

59.8512892,30.3263872,42000000

59.8192004,30.3396276,8500000

59.9390205,30.3532303,11470000

59.8295083,30.3759047,7500000

59.8511311,30.3510961,31700000

59.8511311,30.3510961,12800000

59.8504711,30.3134708,32500000

59.743088650000004,30.32937446129614,4950000

59.840724800000004,30.310300553286794,7600000

59.8512892,30.3263872,5900000

59.8513705,30.304668074729065,4950000

59.8511311,30.3510961,7000000

59.8229523,30.3244065,6000000

59.8512892,30.3263872,6200000

59.8504711,30.3134708,16000000

59.8512892,30.3263872,6700000

59.8459613,30.4225427,11590000

59.844922,30.34982565,6400000

59.8385588,30.3358525,12100000

59.8394129,30.2993788,4100000

59.8394129,30.2993788,4800000

59.8511311,30.3510961,5500000

59.9049511,30.3384921,5650000

59.9016366,30.321406514516127,16999000

59.8394129,30.2993788,6200000

59.8394129,30.2993788,6299000

59.8504711,30.3134708,7190000

59.7990047,30.3995507,10900000

59.8277339,30.3163433,6450000

59.8504711,30.3134708,14500000

59.8511311,30.3510961,6600000

59.8325847,30.3478487,6750000

59.8504711,30.3134708,7900000

59.8394129,30.2993788,7100000

59.8512892,30.3263872,15600000

59.8277339,30.3163433,7400000

59.8512892,30.3263872,19000000

59.9038712,30.321157614751968,10990000

59.8394129,30.2993788,9990000

59.8192004,30.3396276,6243600

59.8167241,30.3567684,6990000

59.8814542,30.3163299,12800000

59.8139993,30.2997726,5800000

59.8167241,30.3567684,17000000

59.84363329999999,30.301703665396673,7100000

59.8192004,30.3396276,4390000

59.8511311,30.3510961,5990000

59.84623295,30.32470450295087,8980000

59.872161,30.338721,6250000

59.8504711,30.3134708,15750000

59.90775075,30.325208581017534,9600000

59.8325847,30.3478487,40000000

59.8512892,30.3263872,28999000

59.873366149999995,30.33482589221321,44800000

59.8512892,30.3263872,21990000

59.8192004,30.3396276,8323000

59.8192004,30.3396276,5420000

59.8511311,30.3510961,5490000

59.8192004,30.3396276,5610000

59.8511311,30.3510961,13000000

59.8459613,30.4225427,13000000

59.8192004,30.3396276,5350000

59.85140335,30.35008044924858,39990000

59.8167241,30.3567684,4850000

59.8167241,30.3567684,5550000

59.7990047,30.3995507,5390000

59.7990047,30.3995507,18500000

59.743088650000004,30.32937446129614,5250000

59.90775075,30.325208581017534,8150000

59.8324572,30.3475857,5758848

59.8167241,30.3567684,11200022

59.8504711,30.3134708,11500000

59.8511311,30.3510961,11946000

59.8324572,30.3475857,12350185

59.8324572,30.3475857,16019987

59.8512892,30.3263872,38268000

59.8512892,30.3263872,41649000

59.8512892,30.3263872,11400000

59.8512892,30.3263872,19500000

59.8229523,30.3244065,9400000

59.8888957,30.3316848,14100000

59.8512892,30.3263872,12900000

59.8459613,30.4225427,11200000

59.9016366,30.321406514516127,11530000

59.8504711,30.3134708,37000000

59.8229523,30.3244065,4900000

59.8459613,30.4225427,10000000

59.8504711,30.3134708,14340000

59.8512892,30.3263872,6200000

59.8504711,30.3134708,8000000

59.8167241,30.3567684,12375000

59.8504711,30.3134708,8600000

59.8325847,30.3478487,5800000

59.8167241,30.3567684,7750000

59.85377750000001,30.32808878741729,10650000

59.8229523,30.3244065,5555000

59.8385588,30.3358525,6400000

59.8459613,30.4225427,10700000

59.7990047,30.3995507,11200000

59.8332904,30.3112507,10540000

59.8332904,30.3112507,6200000

59.8167241,30.3567684,7500000

59.8167241,30.3567684,5700000

59.8394129,30.2993788,3920000

59.8167241,30.3567684,4200000

59.8277339,30.3163433,4300000

59.8413372,30.3104631,4600000

59.8413372,30.3104631,4700000

59.816921,30.3700476,5022000

59.8167241,30.3567684,5043640

59.8512892,30.3263872,6300000

59.8413372,30.3104631,5000000

59.816921,30.3700476,5082000

59.8324572,30.3475857,5050000

59.816921,30.3700476,5171400

59.816921,30.3700476,5324040

59.76218345,30.3221635353678,5350047

59.8941499,30.3169128,7500000

59.816921,30.3700476,5492731

59.8504711,30.3134708,5100000

59.8332904,30.3112507,10200000

59.8394129,30.2993788,5500000

59.8324572,30.3475857,5631705

59.816921,30.3700476,5632907

59.8295083,30.3759047,5680520

59.8324572,30.3475857,5653319

59.816921,30.3700476,5736525

59.8167241,30.3567684,4850000

59.8511311,30.3510961,10500000

59.8295083,30.3759047,5765031

59.8324572,30.3475857,5847395

59.8295083,30.3759047,5813901

59.76218345,30.3221635353678,5800144

59.816921,30.3700476,5862650

59.8295083,30.3759047,5986575

59.8926493,30.318071,6122650

59.8192004,30.3396276,6099000

59.8167241,30.3567684,14500000

59.8926493,30.318071,6259216

59.8295083,30.3759047,6349956

59.8295083,30.3759047,6476904

59.8511311,30.3510961,7600000

59.8324572,30.3475857,6482598

59.8926493,30.318071,6479959

59.8229523,30.3244065,5250000

59.8926493,30.318071,6479959

59.8511311,30.3510961,6500000

59.8324572,30.3475857,6541681

59.8504711,30.3134708,8500000

59.8332904,30.3112507,5800000

59.8511311,30.3510961,6499000

59.8926493,30.318071,6689828

59.8802598,30.3190724,6921200

59.8802598,30.3190724,6921200

59.8802598,30.3190724,6944000

59.8802598,30.3190724,6944000

59.816921,30.3700476,7119484

59.8295083,30.3759047,7135988

59.76218345,30.3221635353678,7100305

59.85140335,30.35008044924858,7240000

59.8802598,30.3190724,7213950

59.8756343,30.3356028,7213950

59.8324572,30.3475857,7192526

59.816921,30.3700476,7284945

59.8802598,30.3190724,7298100

59.8926493,30.318071,7269384

59.8756343,30.3356028,7298100

59.8926493,30.318071,7440628

59.8167241,30.3567684,7350174

59.8167241,30.3567684,7361521

59.76218345,30.3221635353678,7400185

59.816921,30.3700476,7473480

59.8324572,30.3475857,7606980

59.8324572,30.3475857,7637617

59.8756343,30.3356028,7642350

59.8802598,30.3190724,7642350

59.8926493,30.318071,7669780

59.8926493,30.318071,7697105

59.816921,30.3700476,7740807

59.8926493,30.318071,7661380

59.8413372,30.3104631,7718774

59.85140335,30.35008044924858,7890000

59.8511311,30.3510961,7877600

59.85140335,30.35008044924858,7900000

59.816921,30.3700476,7968336

59.76218345,30.3221635353678,7900498

59.8324572,30.3475857,7930219

59.8802598,30.3190724,7982500

59.8802598,30.3190724,7982500

59.8802598,30.3190724,7912800

59.8295083,30.3759047,8023748

