lat,lon,price

55.78377815,37.59862115,59976000

55.78377815,37.59862115,174549900

55.78377815,37.59862115,74525400

55.764744500000006,37.59452601180673,367000000

55.7396413,37.5936603,551234249

55.74956805,37.59782098782202,290316704

55.7674437,37.6277553,56524000

55.76850465,37.61677876363887,189262500

55.731764,37.6155004,199125000

55.736919150000006,37.59898214842403,810000000

55.775023250000004,37.60023625703622,164999990

55.775023250000004,37.60023625703622,185000000

55.738465649999995,37.58157840338784,180000000

55.7277596,37.5701845,107000000

55.720141,37.5652789,177000000

55.7387492,37.60368200544028,366317999

55.7701444,37.5957128,71134000

55.7277596,37.5701845,107000000

55.7674437,37.6277553,92976000

55.7758727,37.6468774,59788354

55.7409817,37.577388876771636,230000000

55.750011650000005,37.60505269199224,64500000

55.7277596,37.5701845,128000000

55.7736648,37.639628,43078319

55.775023250000004,37.60023625703622,210000000

55.7461826,37.5390199,79500000

55.7277596,37.5701845,119450000

55.775023250000004,37.60023625703622,210000000

55.7566622,37.5584469,38500000

55.7277596,37.5701845,128000000

55.7473038,37.62280532243886,87645616

55.7461826,37.5390199,79500000

55.7704162,37.5650775,35900000

55.7290711,37.5607528,185099999

55.7671974,37.5542364,150000000

55.74858125,37.58962971527017,246905710

55.720141,37.5652789,228578468

55.7277596,37.5701845,118000000

55.7277596,37.5701845,120000000

55.7529371,37.5878215,184829874

55.776804850000005,37.58911461185424,92170000

55.7671974,37.5542364,150000000

55.7277596,37.5701845,115749637

55.7277596,37.5701845,350000000

55.7681245,37.5940382,76617300

55.7277596,37.5701845,107000000

55.7277596,37.5701845,87000000

55.7277596,37.5701845,103000000

55.750529,37.534684,51500000

55.7462225,37.58936667771226,77000000

55.750529,37.534684,32900000

55.7346499,37.6260347,109000000

55.7577671,37.6164974,319861551

55.73645675,37.61687933062365,98000000

55.7758727,37.6468774,28924012

55.7277596,37.5701845,127000000

55.750529,37.534684,32900000

55.7577671,37.6164974,314795373

55.750529,37.534684,28500000

55.73645675,37.61687933062365,98000000

55.7704162,37.5650775,31500000

55.750529,37.534684,32900000

55.750529,37.534684,32900000

55.750529,37.534684,28500000

55.7529371,37.5878215,173762864

55.7689701,37.5760864,90000000

55.7277596,37.5701845,350000000

55.7268077,37.5739549,161200000

55.7238027,37.6108721,240000000

55.7503186,37.6463965,220480000

55.7277596,37.5701845,120000000

55.7290711,37.5607528,185000000

55.7583598,37.6058437,59000000

55.7277596,37.5701845,105500000

55.7277596,37.5701845,85490000

55.7556261,37.600518615038595,257242649

55.74858125,37.58962971527017,150773700

55.7277596,37.5701845,350000000

55.7277596,37.5701845,198444329

55.7277596,37.5701845,112040198

55.7843817,37.6581312,18549994

55.73095525,37.6433292285798,72000000

55.7277596,37.5701845,350000000

55.73547395,37.5711441258471,280000000

55.74935255,37.537101126170214,47700000

55.75961035,37.603087348924014,99000000

55.764473949999996,37.59720296335518,174000000

55.7629076,37.58937158126882,225000000

55.7268077,37.5739549,161200000

55.7554532,37.5368991,25400000

55.7543331,37.52326643838694,28593120

55.7277596,37.5701845,350000000

55.7290711,37.5607528,180000000

55.75980305,37.646249848157225,60000000

55.7429659,37.6372986,79000000

55.7473038,37.62280532243886,58982586

55.7336255,37.6099792,256422599

55.7282262,37.6144083,48094200

55.7422382,37.5955039,81970000

55.7429659,37.6372986,79000000

55.73645675,37.61687933062365,98000000

55.7461826,37.5390199,87550001

55.7336255,37.6099792,263748959

55.7336255,37.6099792,256422599

55.7623993,37.5978302,256422599

55.7495788,37.5794642,110000000

55.742766849999995,37.579829773978545,199000000

