address,main_price,price_per_m2,area
"Москва, ЮЗАО, р-н Обручевский, м. Улица Новаторов, улица Эльдара Рязанова, 2",50268791,303556,165.6
"Москва, ЮЗАО, р-н Обручевский, м. Калужская, улица Академика Волгина, вл2Бс2",102362400,406200,252.0
"Москва, ЮЗАО, р-н Обручевский, м. Улица Новаторов, улица Эльдара Рязанова, 2",38914145,308109,126.3
"Москва, ЮЗАО, р-н Черемушки, м. Зюзино, Херсонская улица, 43к5",59684130,361000,165.33
"Москва, ЮЗАО, р-н Черемушки, м. Зюзино, Херсонская улица, 43к5",55791000,450000,123.98
"Москва, ЮЗАО, р-н Южное Бутово, Южные Сады ЖК",13960230,160094,87.2
"Москва, ЮЗАО, р-н Черемушки, м. Зюзино, Херсонская улица, 43к5",40709840,332000,122.62
"Москва, ЮЗАО, р-н Обручевский, м. Воронцовская, Афи Парк Воронцовский ЖК",51458440,437200,117.7
"Москва, ЮЗАО, р-н Гагаринский, м. Академическая, улица Губкина, 6К1",52000000,250000,208.0
"Москва, ЮЗАО, р-н Котловка, м. Крымская, Энитео ЖК",60468900,353000,171.3
"Москва, ЮЗАО, р-н Южное Бутово, Южные Сады ЖК",11505302,171465,67.1
"Москва, ЮЗАО, р-н Обручевский, м. Калужская, улица Академика Волгина, вл2Бс2",37432210,343100,109.1
"Москва, ЮЗАО, р-н Котловка, м. Крымская, Энитео ЖК",49633750,336500,147.5
"Москва, ЮЗАО, р-н Обручевский, м. Улица Новаторов, улица Эльдара Рязанова, 4",46107642,467149,98.7
"Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, улица Поляны, 5Ак2",17414400,192000,90.7
"Москва, ЮЗАО, р-н Обручевский, м. Воронцовская, Афи Парк Воронцовский ЖК",38294730,459500,83.34
"Москва, ЮЗАО, р-н Черемушки, м. Зюзино, Херсонская улица, 43к5",25294500,330000,76.65
"Москва, ЮЗАО, р-н Академический, м. Академическая, Новочеремушкинская улица, 17",17500000,394322,44.38
"Москва, ЮЗАО, р-н Академический, м. Академическая, проспект 60-летия Октября, 17",24300000,261853,92.8
"Москва, ЮЗАО, р-н Обручевский, м. Калужская, улица Академика Волгина",29923140,295100,101.4
"Москва, ЮЗАО, р-н Южное Бутово, м. Бунинская аллея, Южные Сады ЖК, к1.1",8335594,193401,43.1
"Москва, ЮЗАО, р-н Академический, м. Академическая, улица Шверника, 1К1",19990000,298358,67.0
