address,main_price,price_per_m2,area
"Москва, САО, р-н Войковский, м. Водный стадион, улица Адмирала Макарова, 6С6",13505400,246000,54.9
"Москва, САО, р-н Хорошевский, м. ЦСКА, Ходынский бульвар, 9",53000000,381295,139.0
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский 14 ЖК, к1.1",17267200,243200,71.0
"Москва, САО, р-н Аэропорт, м. Сокол, Ленинградский проспект, 76К1",43500000,356557,122.0
"Москва, САО, р-н Хорошевский, м. Полежаевская, проезд Березовой Рощи, 12",37700000,364956,103.3
"Москва, САО, р-н Хорошевский, м. Полежаевская, проезд Березовой Рощи, 12",37900000,354206,107.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, проезд Березовой Рощи, 12",25500000,399687,63.8
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",33500000,465278,72.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, Ходынский бульвар, 17",33500000,403614,83.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, улица Гризодубовой, 2",58500000,420561,139.1
"Москва, САО, р-н Хорошевский, м. ЦСКА, Ходынский бульвар, 9",53000000,381295,139.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, улица Гризодубовой, 4К4",52500000,351406,149.4
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9к1",25791650,384950,67.0
"Москва, САО, р-н Хорошевский, м. Полежаевская, Хорошевское шоссе, 25Ак2",35600000,346304,102.8
"Москва, САО, р-н Хорошевский, м. Полежаевская, Хорошевское шоссе, 25Ак3",50000000,354610,141.0
"Москва, САО, р-н Тимирязевский, м. Дмитровская, Дмитровское шоссе, 1А",14145000,410000,34.5
"Москва, САО, р-н Войковский, м. Войковская, Старопетровский проезд, 8к3",23243800,326000,71.3
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С35",52000000,434419,119.7
"Москва, САО, р-н Ховрино, м. Речной вокзал, Фестивальная улица, 24А",36000000,263543,136.6
"Москва, САО, р-н Хорошевский, м. Хорошевская, Хорошевское шоссе, 25Ак3",49950000,378409,132.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, улица Гризодубовой, 2",60000000,419141,143.15
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Ильменский проезд, 17к5",14950240,227900,65.6
"Москва, САО, р-н Хорошевский, м. ЦСКА, улица Гризодубовой, 4К4",52500000,350000,150.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",148000000,311579,475.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",183158999,753741,243.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",83000000,461111,180.0
