address,main_price,price_per_m2,area
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Московские ворота",10843630,203064,53.4
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 12-я Красноармейская улица, 26",11387485,351466,32.4
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Московские ворота",7199544,222208,32.4
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Московские ворота",14464388,191328,75.6
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, Променад ЖК",7333048,283020,25.91
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 12-я Красноармейская улица, 26",13986822,295081,47.4
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская",28151167,320264,87.9
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, Английский проспект, 12",2850000,111328,25.6
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, Английский проспект, 12",2850000,111328,25.6
"Санкт-Петербург, р-н Адмиралтейский, Сенной, м. Сенная площадь, Гороховая улица, 51",2200000,193322,11.38
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, Галактика Про ЖК",10500000,258621,40.6
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская",51343398,356799,143.9
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская",53762776,342438,157.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Технологический институт, 7-я Красноармейская улица, 20",2212000,170154,13.0
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Звенигородская, Звенигородская улица, 7к2",14201120,272000,52.21
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, Галактика Про ЖК",16098060,250749,64.2
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, Галактика Про ЖК",16527680,164782,100.3
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица, 11",17500000,331439,52.8
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 12-я Красноармейская улица, 26Б",19706913,295014,66.8
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 12-я Красноармейская улица, 26Ж",20504236,254395,80.6
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Малодетскосельский проспект, 40",21209419,310125,68.39
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 12-я Красноармейская улица, 26",28283083,258057,109.6
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Малодетскосельский проспект, 40",30105514,219316,137.27
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, Галактика Про ЖК",31108270,255405,121.8
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Малодетскосельский проспект, 40",32691617,230889,141.59
"Санкт-Петербург, р-н Адмиралтейский, Екатерингофский, м. Сенная площадь, набережная Реки Фонтанки, 156",12000000,88626,135.4
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Технологический институт, улица Егорова, 18",24000000,99174,242.0
"Санкт-Петербург, р-н Адмиралтейский, Сенной, м. Садовая, проспект Римского-Корсакова, 1",17500000,192308,91.0
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, набережная Реки Пряжки, 18-20",3540000,179695,19.7
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица, 11",21580000,286587,75.3
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Звенигородская, Звенигородская улица, 7к2",14800000,285109,51.91
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица, 11",25950568,240283,108.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица, 11с2",46725813,360539,129.6
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, Московский проспект, 71к2",18825344,219640,85.71
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 4",35587653,251272,141.63
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 6к1",24733234,354040,69.86
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, набережная Обводного Канала, 108",43000000,286667,150.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 4",15902639,274420,57.95
"Санкт-Петербург, р-н Адмиралтейский, Сенной, м. Технологический институт, Вознесенский проспект, 55",10200000,163200,62.5
"Санкт-Петербург, р-н Адмиралтейский, Сенной, м. Садовая, Вознесенский проспект, 55",11900000,106250,112.0
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Московский проспект, 20",12700000,125123,101.5
"Санкт-Петербург, р-н Адмиралтейский, Адмиралтейский, м. Садовая, Средняя Подьяческая улица, 15",6100000,225926,27.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, Московский проспект, 73к5",10150000,306647,33.1
"Санкт-Петербург, р-н Адмиралтейский, Екатерингофский, м. Балтийская, улица Розенштейна, 18",13500000,223140,60.5
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 9к1",18000000,264706,68.0
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Пушкинская, Можайская улица, 37-39",5260000,213908,24.59
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Пушкинская, Большой Казачий переулок, 11",19000000,113568,167.3
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 9к2",7450000,225076,33.1
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, Измайловский проспект, 19",13400000,191429,70.0
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Рузовская улица, 35",12750000,159375,80.0
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, Лермонтовский проспект, 10/53",4310000,200465,21.5
"Санкт-Петербург, р-н Адмиралтейский, Адмиралтейский, м. Адмиралтейская, Почтамтская улица, 11",18900000,265449,71.2
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Бронницкая улица, 19",4360000,189565,23.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 14к1",6500000,256006,25.39
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Верейская улица, 3",8200000,204489,40.1
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Московские ворота",6900000,219048,31.5
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 14к1",6990000,270930,25.8
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Московские ворота, улица Парфеновская",8500000,229296,37.07
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, набережная Реки Пряжки, 18-20",3800000,182692,20.8
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Технологический институт, бульвар Измайловский",9000000,218978,41.1
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 14к1",9200000,236686,38.87
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, Московский проспект, 65",9542000,274748,34.73
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Красуцкого",9500000,228365,41.6
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Московские ворота, Малая Митрофаньевская улица",12500000,226040,55.3
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, улица Парфеновская, 7к3",14200000,210059,67.6
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица",23200000,286420,81.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица",24395000,301173,81.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица",24500000,302843,80.9
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица",25150000,311262,80.8
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица",27300000,338290,80.7
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица",29750000,287996,103.3
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская",37500000,349357,107.34
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Технологический институт, 5-я Красноармейская улица, 17",2990000,186875,16.0
"Санкт-Петербург, р-н Адмиралтейский, Екатерингофский, м. Нарвская, Перекопская улица, 5",7289000,131333,55.5
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Малодетскосельский проспект, 28а",2300000,230000,10.0
"Санкт-Петербург, р-н Адмиралтейский, Адмиралтейский, м. Садовая, Средняя Подьяческая улица, 7Б",8750000,124113,70.5
"Санкт-Петербург, р-н Адмиралтейский, Адмиралтейский, м. Василеостровская, Галерная улица, 67",3750000,138889,27.0
"Санкт-Петербург, р-н Адмиралтейский, Адмиралтейский, м. Адмиралтейская, Большая Морская улица, 49",16900000,182505,92.6
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Фрунзенская, улица Парфеновская, 7к1",11590000,197782,58.6
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, Лермонтовский проспект, 10/53",3299000,169179,19.5
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, набережная Реки Пряжки, 18-20",3890000,182629,21.3
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Пушкинская, Можайская улица, 37-39",5260000,202308,26.0
"Санкт-Петербург, р-н Адмиралтейский, Адмиралтейский, м. Сенная площадь, набережная Канала Грибоедова, 102Б",13290000,217512,61.1
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Балтийская, Английский проспект, 51",13850000,103358,134.0
"Санкт-Петербург, р-н Адмиралтейский, Измайловское, м. Балтийская, 11-я Красноармейская улица, 11",17950000,330571,54.3
"Санкт-Петербург, р-н Адмиралтейский, Сенной, м. Садовая, Московский проспект, 7Б",10700000,245413,43.6
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, Лермонтовский проспект, 10/53",3680000,184000,20.0
"Санкт-Петербург, р-н Адмиралтейский, Екатерингофский, м. Нарвская, набережная Обводного Канала, 211-213",3200000,145455,22.0
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Балтийская, улица Лабутина, 36",12900000,112174,115.0
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, набережная Реки Пряжки, 18-20",3100000,177143,17.5
"Санкт-Петербург, р-н Адмиралтейский, Екатерингофский, м. Нарвская, набережная Обводного Канала, 211-213",3200000,140351,22.8
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Пушкинская, Подъездной переулок, 5Б",13500000,112219,120.3
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, набережная Реки Пряжки, 18-20",2700000,187500,14.4
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Московский проспект, 42/27",3500000,221519,15.8
"Санкт-Петербург, р-н Адмиралтейский, Сенной, м. Садовая, переулок Гривцова, 13/11",3890000,221023,17.6
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Технологический институт, Серпуховская улица, 34",18000000,223602,80.5
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, набережная Реки Пряжки, 18-20",2690000,192143,14.0
"Санкт-Петербург, р-н Адмиралтейский, Коломна, м. Садовая, набережная Реки Пряжки, 18-20",2750000,185811,14.8
"Санкт-Петербург, р-н Адмиралтейский, Семёновский, м. Пушкинская, Большой Казачий переулок, 11",18500000,123333,150.0
