address,main_price,price_per_m2,area
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, Переделкино Ближнее мкр, улица Анны Ахматовой, 11к3",12060438,155218,77.7
"Москва, НАО (Новомосковский), м. Ольховая, Сосенское поселение, бульвар Скандинавский, 5к1",10300000,186257,55.3
"Москва, НАО (Новомосковский), м. Румянцево, Московский поселение, улица Родниковая, 30к3",19329784,189880,101.8
"Москва, НАО (Новомосковский), м. Солнцево, Московский поселение, улица Родниковая, 30к1",17352225,222750,77.9
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, № 26 кв-л, 3к1",16569165,190669,86.9
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, Прокшино ЖК",10190133,191905,53.1
"Москва, НАО (Новомосковский), м. Улица Скобелевская, Сосенское поселение, № 173 кв-л",12633124,179448,70.4
"Москва, НАО (Новомосковский), м. Солнцево, Московский поселение, улица Родниковая, 30к1",14284710,232650,61.4
"Москва, НАО (Новомосковский), м. Саларьево, Сосенское поселение, Испанские Кварталы 2 ЖК, к5/3",20026734,213050,94.0
"Москва, НАО (Новомосковский), м. Улица Скобелевская, Сосенское поселение, № 173 кв-л",13431215,185514,72.4
"Москва, НАО (Новомосковский), м. Филатов Луг, Московский, Первый Московский мкр, 10-я фаза тер., к7",17621221,162109,108.7
"Москва, НАО (Новомосковский), м. Саларьево, Сосенское поселение, Испанские Кварталы 2 ЖК, к5/5",13016815,210628,61.8
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, Прокшино ЖК",9787670,184325,53.1
"Москва, НАО (Новомосковский), м. Румянцево, Московский поселение, улица Родниковая, 30к3",9804564,259380,37.8
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, Переделкино Ближнее мкр, улица Бориса Пастернака, 8",15007610,175323,85.6
"Москва, НАО (Новомосковский), м. Улица Скобелевская, пос. Коммунарка, улица Потаповская Роща, 20к2",9933711,178664,55.6
"Москва, НАО (Новомосковский), м. Филатов Луг, Сосенское поселение, Саларьево Парк ЖК, 46",14116560,179600,78.6
"Москва, НАО (Новомосковский), м. Бунинская аллея, пос. Коммунарка, Бунинские Луга ЖК, 3.3/1",14204920,187400,75.8
"Москва, НАО (Новомосковский), м. Прокшино, Московский, Первый Московский мкр, 10-я фаза тер., к5",13083200,159941,81.8
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, Переделкино Ближнее мкр, улица Анны Ахматовой, 11к4",13047455,157597,82.79
"Москва, НАО (Новомосковский), м. Ольховая, Сосенское поселение, Скандинавия ЖК, к5/4",13843996,198054,69.9
"Москва, НАО (Новомосковский), м. Филатов Луг, Филимонковское поселение, № 25 кв-л",9053060,129700,69.8
"Москва, НАО (Новомосковский), м. Саларьево, Сосенское поселение, Испанские Кварталы 2 ЖК, к5/5",10268040,212150,48.4
"Москва, НАО (Новомосковский), м. Филатов Луг, Филимонковское поселение, улица Харлампиева, 50к1",9990000,181636,55.0
"Москва, НАО (Новомосковский), м. Бунинская аллея, пос. Коммунарка, улица Александры Монаховой, 87к2",6686240,209600,31.9
"Москва, НАО (Новомосковский), м. Улица Скобелевская, пос. Коммунарка, улица Потаповская Роща, 20к2",9041138,194433,46.5
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, Прокшино ЖК",7945859,228987,34.7
"Москва, НАО (Новомосковский), м. Филатов Луг, Сосенское поселение, Саларьево Парк ЖК, 46",10642440,203100,52.4
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, Переделкино Ближнее мкр, улица Анны Ахматовой, 11к3",12060438,155218,77.7
"Москва, НАО (Новомосковский), Филимонковское поселение, Марьино Град ЖК, к22",6250000,160668,38.9
"Москва, НАО (Новомосковский), м. Силикатная, Рязановское поселение, пос. Знамя Октября, Родники мкр, 2",20500000,146429,140.0
"Москва, НАО (Новомосковский), м. Ольховая, Сосенское поселение, Скандинавия ЖК, к8/3",9354019,215530,43.4
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, Переделкино Ближнее мкр, 15-я фаза тер.",12120696,180906,67.0
"Москва, НАО (Новомосковский), м. Прокшино, Московский, Первый Московский мкр, 10-я фаза тер., к5",10212470,156874,65.1
"Москва, НАО (Новомосковский), м. Саларьево, Сосенское поселение, Испанские Кварталы 2 ЖК, к5/5",8450356,227772,37.1
"Москва, НАО (Новомосковский), м. Бунинская аллея, Сосенское поселение, улица Александры Монаховой, 109к5",8850000,214286,41.3
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, улица Самуила Маршака, 24",9200000,244681,37.6
"Москва, НАО (Новомосковский), Десеновское поселение, Андерсен ЖК, аллея Буковая, 8",6900000,158257,43.6
"Москва, НАО (Новомосковский), м. Филатов Луг, Филимонковское поселение, № 25 кв-л",7470000,149400,50.0
"Москва, НАО (Новомосковский), м. Улица Горчакова, пос. Коммунарка, улица Александры Монаховой, 84к2",8407350,235500,35.7
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, № 26 кв-л, 2к1",5861786,272641,21.5
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, Переделкино Ближнее мкр, Переделкино Ближнее мкр, 9-я фаза, к6",8130546,235668,34.5
"Москва, НАО (Новомосковский), м. Филатов Луг, Сосенское поселение, Саларьево Парк ЖК, 46",8803200,224000,39.3
"Москва, НАО (Новомосковский), м. Ольховая, Десеновское поселение, улица 3-я Нововатутинская, 8",7300000,198910,36.7
"Москва, НАО (Новомосковский), м. Коммунарка, Сосенское поселение, бульвар Скандинавский, 5к3",6990000,218438,32.0
"Москва, НАО (Новомосковский), м. Говорово, Московский поселение, улица Татьянин Парк, 19к3",19000000,283582,67.0
"Москва, НАО (Новомосковский), м. Ольховая, Сосенское поселение, бульвар Скандинавский, 1к2",12500000,173611,72.0
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, Переделкино Ближнее мкр, улица Анны Ахматовой, 11к2",8762501,222851,39.32
"Москва, НАО (Новомосковский), м. Улица Скобелевская, Сосенское поселение, № 173 кв-л",5273246,277539,19.0
"Москва, НАО (Новомосковский), м. Саларьево, Сосенское поселение, Испанские Кварталы 2 ЖК, к6/4",5389935,243888,22.1
"Москва, НАО (Новомосковский), м. Филатов Луг, Московский, Первый Московский мкр, 10-я фаза тер., к7",7279602,185232,39.3
"Москва, НАО (Новомосковский), м. Филатов Луг, Сосенское поселение, Саларьево Парк ЖК",7734900,271400,28.5
"Москва, НАО (Новомосковский), м. Бунинская аллея, пос. Коммунарка, улица Александры Монаховой, 87к3",5072480,258800,19.6
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, улица Сервантеса, 3к2",8500000,137097,62.0
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, бульвар Веласкеса, 5к5",6800000,158140,43.0
"Москва, НАО (Новомосковский), м. Коммунарка, Сосенское поселение, бульвар Скандинавский, 6",6900000,172500,40.0
"Москва, НАО (Новомосковский), м. Прокшино, Сосенское поселение, проспект Магеллана, 2",10500000,128049,82.0
"Москва, НАО (Новомосковский), Филимонковское поселение, Марьино Град ЖК, к22",6250000,160668,38.9
"Москва, НАО (Новомосковский), м. Щербинка, Щербинка, Южный кв-л, 8",10178000,140000,72.7
"Москва, НАО (Новомосковский), м. Филатов Луг, Филимонковское поселение, Середневский Лес ЖК, к1/4",7095970,151300,46.9
